Dataset,Features,Instances,Minority instances,Majority instances,IR,Classes
Image Segmentation,14,1155,165,165,1.0,7
Mfeat Zernike,47,1994,198,200,1.01,10
Texture,40,1824,165,166,1.01,11
Waveform,40,1666,551,564,1.02,3
Pendigits,16,1832,176,191,1.09,10
Vehicle,18,846,199,218,1.1,4
Mice Protein,69,1073,105,150,1.43,8
Gas Drift,128,1987,234,430,1.84,6
Japanese Vowels,12,1992,156,323,2.07,9
Usps,256,1859,142,310,2.18,10
Gesture Segmentation,32,1974,200,590,2.95,5
Volkert,147,1943,45,427,9.49,10
Steel Plates,24,1941,55,673,12.24,7
Baseball,15,1320,57,1196,20.98,3
Wine Quality,11,1599,10,681,68.1,6
