Classifier,Metric,Standard,Oversampling,Proposed
DT,Accuracy,2.13 $\pm$ 0.96,2.40 $\pm$ 0.49,\textbf{1.47 $\pm$ 0.62}
DT,F-score,2.47 $\pm$ 0.81,2.20 $\pm$ 0.40,\textbf{1.33 $\pm$ 0.70}
DT,G-mean,2.73 $\pm$ 0.57,1.93 $\pm$ 0.44,\textbf{1.33 $\pm$ 0.70}
KNN,Accuracy,2.07 $\pm$ 0.93,2.07 $\pm$ 0.68,\textbf{1.87 $\pm$ 0.81}
KNN,F-score,2.47 $\pm$ 0.81,1.87 $\pm$ 0.50,\textbf{1.67 $\pm$ 0.87}
KNN,G-mean,2.87 $\pm$ 0.34,\textbf{1.47 $\pm$ 0.50},1.67 $\pm$ 0.70
LR,Accuracy,2.13 $\pm$ 0.88,2.20 $\pm$ 0.65,\textbf{1.67 $\pm$ 0.79}
LR,F-score,2.80 $\pm$ 0.40,1.87 $\pm$ 0.50,\textbf{1.33 $\pm$ 0.70}
LR,G-mean,2.80 $\pm$ 0.40,1.80 $\pm$ 0.54,\textbf{1.40 $\pm$ 0.71}
RF,Accuracy,2.27 $\pm$ 0.85,\textbf{1.87 $\pm$ 0.50},\textbf{1.87 $\pm$ 0.96}
RF,F-score,2.73 $\pm$ 0.57,1.80 $\pm$ 0.54,\textbf{1.47 $\pm$ 0.72}
RF,G-mean,2.87 $\pm$ 0.34,\textbf{1.53 $\pm$ 0.50},1.60 $\pm$ 0.71
