G-mean,Classifier,Standard,Oversampling,Proposed
0.60,DT,19.8\%,\textbf{18.9\%},19.3\%
0.60,KNN,18.4\%,\textbf{11.8\%},12.8\%
0.60,LR,23.0\%,\textbf{9.7\%},\textbf{9.7\%}
0.60,RF,14.1\%,\textbf{7.7\%},7.8\%
0.66,DT,23.1\%,23.3\%,\textbf{22.9\%}
0.66,KNN,23.9\%,\textbf{21.7\%},21.9\%
0.66,LR,25.6\%,\textbf{20.5\%},\textbf{20.5\%}
0.66,RF,22.0\%,17.6\%,\textbf{17.5\%}
0.70,DT,25.5\%,25.0\%,\textbf{24.8\%}
0.70,KNN,26.8\%,24.1\%,\textbf{23.9\%}
0.70,LR,29.9\%,23.6\%,\textbf{23.4\%}
0.70,RF,23.8\%,\textbf{22.1\%},22.3\%
0.76,DT,33.4\%,30.5\%,\textbf{30.1\%}
0.76,KNN,34.0\%,27.7\%,\textbf{27.3\%}
0.76,LR,38.0\%,27.6\%,\textbf{26.2\%}
0.76,RF,28.2\%,\textbf{24.5\%},24.7\%
0.80,DT,48.2\%,43.8\%,\textbf{41.2\%}
0.80,KNN,38.8\%,\textbf{34.4\%},34.6\%
0.80,LR,43.7\%,32.6\%,\textbf{31.3\%}
0.80,RF,32.4\%,\textbf{27.2\%},27.7\%
0.86,DT,69.6\%,66.5\%,\textbf{64.8\%}
0.86,KNN,53.9\%,\textbf{52.0\%},52.5\%
0.86,LR,48.7\%,45.3\%,\textbf{45.0\%}
0.86,RF,43.9\%,\textbf{40.0\%},\textbf{40.0\%}
0.90,DT,81.2\%,79.4\%,\textbf{76.6\%}
0.90,KNN,60.9\%,61.1\%,\textbf{60.4\%}
0.90,LR,62.1\%,62.9\%,\textbf{59.9\%}
0.90,RF,57.1\%,\textbf{55.7\%},56.2\%
0.96,DT,100.0\%,\textbf{99.7\%},100.0\%
0.96,KNN,82.4\%,79.7\%,\textbf{77.1\%}
0.96,LR,86.5\%,84.0\%,\textbf{81.8\%}
0.96,RF,70.8\%,71.1\%,\textbf{70.3\%}
