Dataset,Classifier,Metric,G-SMOTE,NONE,RAND-OVER,RAND-UNDER,SMOTENC
Abalone,DT,mean_test_accuracy,0.22106443755147817,0.2561017355087068,0.20270052398226523,0.20704981044342802,0.1903837279264439
Abalone,DT,mean_test_f1_macro,0.16780154621652443,0.17001510433173556,0.15405360057347425,0.13175513667186897,0.15580504312816332
Abalone,DT,mean_test_geometric_mean_score_macro,0.46038102141918785,0.41270802686619906,0.45695558363771366,0.42143180816753834,0.4449466257011608
Abalone,KNN,mean_test_accuracy,0.21503221585499072,0.2372620320230856,0.19667180718387278,0.18844610342954282,0.18579581631997383
Abalone,KNN,mean_test_f1_macro,0.1665443514069274,0.15681841883480876,0.1510508563124479,0.14028111080028474,0.1496449866403198
Abalone,KNN,mean_test_geometric_mean_score_macro,0.4291417830084628,0.390828116979604,0.3965706545403379,0.4205220947972065,0.40936760556648794
Abalone,LR,mean_test_accuracy,0.23532236300229573,0.2722853103879338,0.22928429980898307,0.19546466186495626,0.22831665585989755
Abalone,LR,mean_test_f1_macro,0.18934975074973878,0.17975034254462527,0.17854993918860518,0.16642258474277244,0.1856444939546954
Abalone,LR,mean_test_geometric_mean_score_macro,0.4726153394216645,0.41549213461368006,0.45617308871338125,0.4408319517732073,0.46567162341801555
Abalone,RF,mean_test_accuracy,0.23677426703818588,0.2759114195421435,0.22397058222198854,0.19667180718387278,0.2205871872608637
Abalone,RF,mean_test_f1_macro,0.19386152640760654,0.17439693379028018,0.18384558021184483,0.16184247071238309,0.18012832785690386
Abalone,RF,mean_test_geometric_mean_score_macro,0.4855134003238689,0.4156836789738009,0.465294548114825,0.44837626598073976,0.4606560826879983
Adult,DT,mean_test_accuracy,0.8301999999999999,0.8347999999999999,0.8001999999999999,0.7849999999999999,0.7846
Adult,DT,mean_test_f1_macro,0.7669920183918227,0.7632428859635454,0.7547646604564265,0.7442018792202199,0.7544947017339789
Adult,DT,mean_test_geometric_mean_score_macro,0.8092239728567623,0.7465647249420305,0.8061479514358592,0.8014846378406242,0.8083339044994835
Adult,KNN,mean_test_accuracy,0.7864,0.8046,0.7632,0.761,0.7812
Adult,KNN,mean_test_f1_macro,0.7379910585002804,0.7316694890441706,0.7177544554988093,0.7283964708390939,0.7348923294394805
Adult,KNN,mean_test_geometric_mean_score_macro,0.7662513144211687,0.7238236112057237,0.7565850577007762,0.7796161402764364,0.7622682514477976
Adult,LR,mean_test_accuracy,0.8030000000000002,0.8390000000000001,0.8044,0.8008000000000001,0.8030000000000002
Adult,LR,mean_test_f1_macro,0.76771160036818,0.7729572060214375,0.771038719405133,0.7687229940388377,0.7670251852920561
Adult,LR,mean_test_geometric_mean_score_macro,0.812537308623243,0.7576732785655939,0.8148066083210315,0.8152845201696799,0.80504602065106
Adult,RF,mean_test_accuracy,0.8196,0.8324,0.7552,0.753,0.7565999999999999
